Front	Back	Tags
易しい (やさしい)	easy	N5 vocabulary N5-M01-L05
面白い (おもしろい)	interesting / funny	N5 vocabulary N5-M01-L05
つまらない (つまらない)	boring	N5 vocabulary N5-M01-L05
忙しい (いそがしい)	busy	N5 vocabulary N5-M01-L05
楽しい (たのしい)	fun / enjoyable	N5 vocabulary N5-M01-L05
美味しい (おいしい)	delicious	N5 vocabulary N5-M01-L05
まずい (まずい)	bad-tasting	N5 vocabulary N5-M01-L05
起きる (おきる)	to wake up	N5 vocabulary N5-M02-L01
顔を洗う (かおをあらう)	to wash one's face	N5 vocabulary N5-M02-L01
歯を磨く (はをみがく)	to brush one's teeth	N5 vocabulary N5-M02-L01
着替える (きがえる)	to change clothes	N5 vocabulary N5-M02-L01
出かける (でかける)	to go out	N5 vocabulary N5-M02-L01
戻る (もどる)	to return / to come back	N5 vocabulary N5-M02-L01
片付ける (かたづける)	to clean up / to put away	N5 vocabulary N5-M02-L01
休む (やすむ)	to rest / to take a break	N5 vocabulary N5-M02-L01
楽しむ (たのしむ)	to enjoy	N5 vocabulary N5-M02-L01
過ごす (すごす)	to spend (time)	N5 vocabulary N5-M02-L01
それから (それから)	and then / after that	N5 vocabulary N5-M02-L01
でも (でも)	but / however	N5 vocabulary N5-M02-L01
だから (だから)	so / therefore	N5 vocabulary N5-M02-L01
そして (そして)	and (then) / moreover	N5 vocabulary N5-M02-L01
ところで (ところで)	by the way	N5 vocabulary N5-M02-L01
天気 (てんき)	weather	N5 vocabulary N5-M02-L02
晴れ (はれ)	sunny / clear	N5 vocabulary N5-M02-L02
曇り (くもり)	cloudy	N5 vocabulary N5-M02-L02
雨 (あめ)	rain	N5 vocabulary N5-M02-L02
雪 (ゆき)	snow	N5 vocabulary N5-M02-L02
風 (かぜ)	wind	N5 vocabulary N5-M02-L02
台風 (たいふう)	typhoon	N5 vocabulary N5-M02-L02
梅雨 (つゆ)	rainy season	N5 vocabulary N5-M02-L02
気温 (きおん)	air temperature	N5 vocabulary N5-M02-L02
湿気 (しっけ)	humidity	N5 vocabulary N5-M02-L02
暖かい (あたたかい)	warm	N5 vocabulary N5-M02-L02
涼しい (すずしい)	cool	N5 vocabulary N5-M02-L02
蒸し暑い (むしあつい)	hot and humid	N5 vocabulary N5-M02-L02
肌寒い (はださむい)	chilly	N5 vocabulary N5-M02-L02
降る (ふる)	to fall (rain/snow)	N5 vocabulary N5-M02-L02
春 (はる)	spring	N5 vocabulary N5-M02-L02
夏 (なつ)	summer	N5 vocabulary N5-M02-L02
秋 (あき)	autumn	N5 vocabulary N5-M02-L02
冬 (ふゆ)	winter	N5 vocabulary N5-M02-L02
季節 (きせつ)	season	N5 vocabulary N5-M02-L02
頭 (あたま)	head	N5 vocabulary N5-M02-L03
顔 (かお)	face	N5 vocabulary N5-M02-L03
目 (め)	eye	N5 vocabulary N5-M02-L03
耳 (みみ)	ear	N5 vocabulary N5-M02-L03
鼻 (はな)	nose	N5 vocabulary N5-M02-L03
口 (くち)	mouth	N5 vocabulary N5-M02-L03
歯 (は)	tooth	N5 vocabulary N5-M02-L03
喉 (のど)	throat	N5 vocabulary N5-M02-L03
肩 (かた)	shoulder	N5 vocabulary N5-M02-L03
胸 (むね)	chest	N5 vocabulary N5-M02-L03
お腹 (おなか)	stomach / belly	N5 vocabulary N5-M02-L03
背中 (せなか)	back	N5 vocabulary N5-M02-L03
腕 (うで)	arm	N5 vocabulary N5-M02-L03
手 (て)	hand	N5 vocabulary N5-M02-L03
足 (あし)	leg / foot	N5 vocabulary N5-M02-L03
風邪 (かぜ)	cold (illness)	N5 vocabulary N5-M02-L03
熱 (ねつ)	fever	N5 vocabulary N5-M02-L03
咳 (せき)	cough	N5 vocabulary N5-M02-L03
鼻水 (はなみず)	runny nose	N5 vocabulary N5-M02-L03
吐き気 (はきけ)	nausea	N5 vocabulary N5-M02-L03
痛い (いたい)	painful / it hurts	N5 vocabulary N5-M02-L03
かゆい (かゆい)	itchy	N5 vocabulary N5-M02-L03
だるい (だるい)	fatigued / heavy-limbed	N5 vocabulary N5-M02-L03
病気 (びょうき)	illness / sickness	N5 vocabulary N5-M02-L03
薬 (くすり)	medicine	N5 vocabulary N5-M02-L03
シャツ (シャツ)	shirt	N5 vocabulary N5-M02-L04
ズボン (ズボン)	trousers / pants	N5 vocabulary N5-M02-L04
スカート (スカート)	skirt	N5 vocabulary N5-M02-L04
ジャケット (ジャケット)	jacket	N5 vocabulary N5-M02-L04
コート (コート)	coat	N5 vocabulary N5-M02-L04
制服 (せいふく)	uniform	N5 vocabulary N5-M02-L04
眼鏡 (めがね)	glasses	N5 vocabulary N5-M02-L04
帽子 (ぼうし)	hat / cap	N5 vocabulary N5-M02-L04
鞄 (かばん)	bag	N5 vocabulary N5-M02-L04
財布 (さいふ)	wallet	N5 vocabulary N5-M02-L04
背が高い (せがたかい)	tall (person)	N5 vocabulary N5-M02-L04
背が低い (せがひくい)	short (person)	N5 vocabulary N5-M02-L04
太っている (ふとっている)	overweight / chubby	N5 vocabulary N5-M02-L04
痩せている (やせている)	thin / slim	N5 vocabulary N5-M02-L04
若い (わかい)	young	N5 vocabulary N5-M02-L04
髪が長い (かみがながい)	has long hair	N5 vocabulary N5-M02-L04
髪が短い (かみがみじかい)	has short hair	N5 vocabulary N5-M02-L04
髪が黒い (かみがくろい)	has black hair	N5 vocabulary N5-M02-L04
かっこいい (かっこいい)	cool-looking / handsome	N5 vocabulary N5-M02-L04
かわいい (かわいい)	cute	N5 vocabulary N5-M02-L04
玄関 (げんかん)	entryway / entrance hall	N5 vocabulary N5-M02-L05
リビング (リビング)	living room	N5 vocabulary N5-M02-L05
台所 (だいどころ)	kitchen	N5 vocabulary N5-M02-L05
寝室 (しんしつ)	bedroom	N5 vocabulary N5-M02-L05
洗面所 (せんめんじょ)	washroom	N5 vocabulary N5-M02-L05
お風呂 (おふろ)	bath	N5 vocabulary N5-M02-L05
トイレ (トイレ)	toilet	N5 vocabulary N5-M02-L05
廊下 (ろうか)	corridor / hallway	N5 vocabulary N5-M02-L05
階段 (かいだん)	stairs	N5 vocabulary N5-M02-L05
バルコニー (バルコニー)	balcony	N5 vocabulary N5-M02-L05
家賃 (やちん)	rent	N5 vocabulary N5-M02-L05
敷金 (しきん)	security deposit	N5 vocabulary N5-M02-L05
礼金 (れいきん)	key money	N5 vocabulary N5-M02-L05
管理費 (かんりひ)	management fee	N5 vocabulary N5-M02-L05
ワンルーム (ワンルーム)	studio apartment	N5 vocabulary N5-M02-L05
1K (いっけい)	1 room + kitchen	N5 vocabulary N5-M02-L05
1LDK (いちエルディーケー)	1 room + living/dining/kitchen	N5 vocabulary N5-M02-L05
築〜年 (ちく〜ねん)	built ~ years ago	N5 vocabulary N5-M02-L05
駅徒歩〜分 (えきとほ〜ふん)	~ min walk from station	N5 vocabulary N5-M02-L05
ペット可 (ペットか)	pets allowed	N5 vocabulary N5-M02-L05
授業 (じゅぎょう)	class / lecture	N5 vocabulary N5-M02-L06
講義 (こうぎ)	lecture (university level)	N5 vocabulary N5-M02-L06
ゼミ (ゼミ)	seminar (small group)	N5 vocabulary N5-M02-L06
課題 (かだい)	assignment / task	N5 vocabulary N5-M02-L06
レポート (レポート)	report / paper	N5 vocabulary N5-M02-L06
試験 (しけん)	examination	N5 vocabulary N5-M02-L06
成績 (せいせき)	grades / results	N5 vocabulary N5-M02-L06
単位 (たんい)	credit (academic)	N5 vocabulary N5-M02-L06
留学生 (りゅうがくせい)	international student	N5 vocabulary N5-M02-L06
奨学金 (しょうがくきん)	scholarship	N5 vocabulary N5-M02-L06
専攻 (せんこう)	major / specialization	N5 vocabulary N5-M02-L06
必修 (ひっしゅう)	required course	N5 vocabulary N5-M02-L06
選択 (せんたく)	elective course	N5 vocabulary N5-M02-L06
図書館 (としょかん)	library	N5 vocabulary N5-M02-L06
学生証 (がくせいしょう)	student ID card	N5 vocabulary N5-M02-L06
趣味 (しゅみ)	hobby	N5 vocabulary N5-M02-L07
アニメ (アニメ)	anime	N5 vocabulary N5-M02-L07
漫画 (まんが)	manga	N5 vocabulary N5-M02-L07
ゲーム (ゲーム)	game (video/board)	N5 vocabulary N5-M02-L07
音楽 (おんがく)	music	N5 vocabulary N5-M02-L07
映画 (えいが)	movie	N5 vocabulary N5-M02-L07
旅行 (りょこう)	travel	N5 vocabulary N5-M02-L07
料理 (りょうり)	cooking	N5 vocabulary N5-M02-L07
写真 (しゃしん)	photography / photo	N5 vocabulary N5-M02-L07
絵を描く (えをかく)	to draw / paint	N5 vocabulary N5-M02-L07
楽器 (がっき)	musical instrument	N5 vocabulary N5-M02-L07
弾く (ひく)	to play (stringed/keyboard)	N5 vocabulary N5-M02-L07
吹く (ふく)	to play (wind instrument)	N5 vocabulary N5-M02-L07
ジャンル (ジャンル)	genre	N5 vocabulary N5-M02-L07
お気に入り (おきにいり)	favorite	N5 vocabulary N5-M02-L07
スポーツ (スポーツ)	sports	N5 vocabulary N5-M02-L08
運動 (うんどう)	exercise	N5 vocabulary N5-M02-L08
サッカー (サッカー)	soccer / football	N5 vocabulary N5-M02-L08
野球 (やきゅう)	baseball	N5 vocabulary N5-M02-L08
バスケ (バスケ)	basketball	N5 vocabulary N5-M02-L08
テニス (テニス)	tennis	N5 vocabulary N5-M02-L08
水泳 (すいえい)	swimming	N5 vocabulary N5-M02-L08
ジョギング (ジョギング)	jogging	N5 vocabulary N5-M02-L08
ヨガ (ヨガ)	yoga	N5 vocabulary N5-M02-L08
ジム (ジム)	gym	N5 vocabulary N5-M02-L08
試合 (しあい)	match / game	N5 vocabulary N5-M02-L08
練習 (れんしゅう)	practice	N5 vocabulary N5-M02-L08
応援する (おうえんする)	to cheer for / to support	N5 vocabulary N5-M02-L08
勝つ (かつ)	to win	N5 vocabulary N5-M02-L08
負ける (まける)	to lose	N5 vocabulary N5-M02-L08
市役所 (しやくしょ)	city hall	N5 vocabulary N5-M02-L09
交番 (こうばん)	police box	N5 vocabulary N5-M02-L09
消防署 (しょうぼうしょ)	fire station	N5 vocabulary N5-M02-L09
区役所 (くやくしょ)	ward office	N5 vocabulary N5-M02-L09
商店街 (しょうてんがい)	shopping street	N5 vocabulary N5-M02-L09
繁華街 (はんかがい)	downtown / busy district	N5 vocabulary N5-M02-L09
住宅街 (じゅうたくがい)	residential area	N5 vocabulary N5-M02-L09
広場 (ひろば)	plaza / square	N5 vocabulary N5-M02-L09
横断歩道 (おうだんほどう)	pedestrian crossing / crosswalk	N5 vocabulary N5-M02-L09
歩道 (ほどう)	sidewalk / footpath	N5 vocabulary N5-M02-L09
車道 (しゃどう)	road / carriageway	N5 vocabulary N5-M02-L09
近所 (きんじょ)	neighborhood	N5 vocabulary N5-M02-L09
住む (すむ)	to live / reside	N5 vocabulary N5-M02-L09
引っ越す (ひっこす)	to move (residence)	N5 vocabulary N5-M02-L09
慣れる (なれる)	to get used to	N5 vocabulary N5-M02-L09
マナー (マナー)	manners	N5 vocabulary N5-M02-L10
礼儀 (れいぎ)	etiquette / courtesy	N5 vocabulary N5-M02-L10
お辞儀 (おじぎ)	bowing	N5 vocabulary N5-M02-L10
挨拶 (あいさつ)	greeting	N5 vocabulary N5-M02-L10
いただきます (いただきます)	said before eating	N5 vocabulary N5-M02-L10
ごちそうさまでした (ごちそうさまでした)	said after eating	N5 vocabulary N5-M02-L10
お邪魔します (おじゃまします)	"excuse me for intruding" (entering someone's home)	N5 vocabulary N5-M02-L10
お先に失礼します (おさきにしつれいします)	"excuse me for leaving first" (workplace)	N5 vocabulary N5-M02-L10
お疲れ様でした (おつかれさまでした)	"good work / thank you for your hard work"	N5 vocabulary N5-M02-L10
遠慮する (えんりょする)	to refrain / to hold back (out of politeness)	N5 vocabulary N5-M02-L10
気を使う (きをつかう)	to be considerate / to be attentive	N5 vocabulary N5-M02-L10
迷惑 (めいわく)	nuisance / bother	N5 vocabulary N5-M02-L10
恥ずかしい (はずかしい)	embarrassing / shy	N5 vocabulary N5-M02-L10
謙遜 (けんそん)	modesty / humility	N5 vocabulary N5-M02-L10
本音 (ほんね)	true feelings / real intention	N5 vocabulary N5-M02-L10
条件 (じょうけん)	condition	N5 vocabulary N5-M03-L01
仮定 (かてい)	hypothesis / assumption	N5 vocabulary N5-M03-L01
もし (もし)	if (hypothetical)	N5 vocabulary N5-M03-L01
後悔 (こうかい)	regret	N5 vocabulary N5-M03-L01
〜ばよかった (〜ばよかった)	I should have ~	N5 vocabulary N5-M03-L01
解決する (かいけつする)	to resolve / to solve	N5 vocabulary N5-M03-L01
問題 (もんだい)	problem	N5 vocabulary N5-M03-L01
うまくいく (うまくいく)	to go well	N5 vocabulary N5-M03-L01
失敗 (しっぱい)	failure	N5 vocabulary N5-M03-L01
成功 (せいこう)	success	N5 vocabulary N5-M03-L01
それなら (それなら)	if that's the case	N5 vocabulary N5-M03-L02
だったら (だったら)	if that's so (casual)	N5 vocabulary N5-M03-L02
場合によって (ばあいによって)	depending on the case	N5 vocabulary N5-M03-L02
特に (とくに)	especially / particularly	N5 vocabulary N5-M03-L02
おすすめ (おすすめ)	recommendation	N5 vocabulary N5-M03-L02
〜のであれば (〜のであれば)	if it is the case that ~ (formal)	N5 vocabulary N5-M03-L02
相談 (そうだん)	consultation	N5 vocabulary N5-M03-L02
提案 (ていあん)	proposal / suggestion	N5 vocabulary N5-M03-L02
選ぶ (えらぶ)	to choose	N5 vocabulary N5-M03-L02
判断する (はんだんする)	to judge / to decide	N5 vocabulary N5-M03-L02
条件 (じょうけん)	condition	N5 vocabulary N5-M04-L01
仮定 (かてい)	hypothesis / assumption	N5 vocabulary N5-M04-L01
もし (もし)	if (hypothetical)	N5 vocabulary N5-M04-L01
後悔 (こうかい)	regret	N5 vocabulary N5-M04-L01
〜ばよかった (〜ばよかった)	I should have ~	N5 vocabulary N5-M04-L01
解決する (かいけつする)	to resolve / to solve	N5 vocabulary N5-M04-L01
問題 (もんだい)	problem	N5 vocabulary N5-M04-L01
うまくいく (うまくいく)	to go well	N5 vocabulary N5-M04-L01
失敗 (しっぱい)	failure	N5 vocabulary N5-M04-L01
成功 (せいこう)	success	N5 vocabulary N5-M04-L01
それなら (それなら)	if that's the case	N5 vocabulary N5-M04-L02
だったら (だったら)	if that's so (casual)	N5 vocabulary N5-M04-L02
場合によって (ばあいによって)	depending on the case	N5 vocabulary N5-M04-L02
特に (とくに)	especially / particularly	N5 vocabulary N5-M04-L02
おすすめ (おすすめ)	recommendation	N5 vocabulary N5-M04-L02
〜のであれば (〜のであれば)	if it is the case that ~ (formal)	N5 vocabulary N5-M04-L02
相談 (そうだん)	consultation	N5 vocabulary N5-M04-L02
提案 (ていあん)	proposal / suggestion	N5 vocabulary N5-M04-L02
選ぶ (えらぶ)	to choose	N5 vocabulary N5-M04-L02
判断する (はんだんする)	to judge / to decide	N5 vocabulary N5-M04-L02
